Latitude (decimal degrees):	41.897
Longitude (decimal degrees):	12.485
Elevation (m):	27
Radiation database:	PVGIS-SARAH3


Slope: 37 deg. (optimum)
Azimuth: 14 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20050104:2210,0.0,0.0,0.0,4.39,1.79,0.0
20050104:2310,0.0,0.0,0.0,3.32,1.86,0.0
20050105:0010,0.0,0.0,0.0,2.79,1.86,0.0
20050105:0110,0.0,0.0,0.0,2.4,1.86,0.0
20050105:0210,0.0,0.0,0.0,2.2,1.79,0.0
20050105:0310,0.0,0.0,0.0,1.97,1.86,0.0
20050105:0410,0.0,0.0,0.0,1.73,2.07,0.0
20050105:0510,0.0,0.0,0.0,1.64,2.21,0.0
20050105:0610,0.0,0.0,0.0,1.46,2.14,0.0
20050105:0710,0.0,0.0,0.0,1.56,1.86,0.0
20050105:0810,239.49,285.95,12.62,3.27,1.24,0.0
20050105:0910,461.02,547.64,19.31,6.93,0.9,0.0
20050105:1010,607.3,739.67,23.76,9.17,1.03,0.0
20050105:1110,667.09,825.46,25.47,10.29,1.1,0.0
20050105:1210,711.96,890.59,24.23,10.96,1.17,0.0
20050105:1310,651.38,804.98,20.21,11.32,1.38,0.0
20050105:1410,590.23,725.27,13.84,11.3,1.24,0.0
20050105:1510,52.78,77.84,5.7,10.76,0.83,0.0
20050105:1610,0.0,0.0,0.0,10.22,0.34,0.0
20050105:1710,0.0,0.0,0.0,9.77,0.55,0.0
20050105:1810,0.0,0.0,0.0,8.12,1.31,0.0
20050105:1910,0.0,0.0,0.0,8.26,1.24,0.0
20050105:2010,0.0,0.0,0.0,6.45,1.52,0.0
20050105:2110,0.0,0.0,0.0,5.22,1.59,0.0
20050105:2210,0.0,0.0,0.0,4.98,1.45,0.0
20050105:2310,0.0,0.0,0.0,4.27,1.59,0.0
20050106:0010,0.0,0.0,0.0,3.76,1.59,0.0
20050106:0110,0.0,0.0,0.0,3.45,1.66,0.0
20050106:0210,0.0,0.0,0.0,3.45,1.66,0.0
20050106:0310,0.0,0.0,0.0,3.69,1.52,0.0
20050106:0410,0.0,0.0,0.0,3.21,1.72,0.0
20050106:0510,0.0,0.0,0.0,3.12,1.79,0.0
20050106:0610,0.0,0.0,0.0,3.22,1.86,0.0
20050106:0710,0.0,0.0,0.0,4.35,1.86,0.0
20050106:0810,185.74,227.74,12.66,6.05,1.59,0.0
20050106:0910,408.47,484.87,19.38,9.01,1.72,0.0
20050106:1010,423.32,506.4,23.85,10.81,1.86,0.0
20050106:1110,681.64,844.07,25.59,11.93,1.66,0.0
20050106:1210,667.55,846.38,24.37,12.43,0.55,0.0
20050106:1310,630.13,792.72,20.35,12.62,0.62,0.0
20050106:1410,544.89,674.58,13.99,12.53,0.76,0.0
20050106:1510,431.59,529.84,5.85,12.15,1.17,0.0
20050106:1610,0.0,0.0,0.0,10.95,1.93,0.0
20050106:1710,0.0,0.0,0.0,9.4,2.21,0.0
20050106:1810,0.0,0.0,0.0,8.1,2.21,0.0
20050106:1910,0.0,0.0,0.0,7.71,2.55,0.0
20050106:2010,0.0,0.0,0.0,6.71,2.41,0.0
20050106:2110,0.0,0.0,0.0,5.79,2.41,0.0
20050106:2210,0.0,0.0,0.0,4.72,2.21,0.0
20050106:2310,0.0,0.0,0.0,3.87,2.0,0.0
20050107:0010,0.0,0.0,0.0,3.33,1.93,0.0
20050107:0110,0.0,0.0,0.0,2.99,2.07,0.0
20050107:0210,0.0,0.0,0.0,2.79,2.14,0.0
20050107:0310,0.0,0.0,0.0,2.58,2.14,0.0
20050107:0410,0.0,0.0,0.0,2.41,2.14,0.0
20050107:0510,0.0,0.0,0.0,2.28,2.14,0.0
20050107:0610,0.0,0.0,0.0,1.95,2.07,0.0
20050107:0710,0.0,0.0,0.0,1.98,2.0,0.0
20050107:0810,236.96,283.29,12.71,3.83,1.66,0.0
20050107:0910,455.81,542.82,19.45,8.19,1.17,0.0
20050107:1010,597.99,736.11,23.95,11.0,0.9,0.0
20050107:1110,678.76,852.38,25.71,12.42,1.03,0.0
20050107:1210,710.09,895.99,24.51,13.12,1.31,0.0
20050107:1310,671.9,843.4,20.5,13.4,1.31,0.0
20050107:1410,592.53,734.56,14.15,13.37,1.38,0.0
20050107:1510,451.18,555.15,6.01,12.75,1.38,0.0
20050107:1610,0.0,0.0,0.0,11.13,1.45,0.0
20050107:1710,0.0,0.0,0.0,9.65,1.45,0.0
20050107:1810,0.0,0.0,0.0,8.89,1.52,0.0
20050107:1910,0.0,0.0,0.0,10.14,1.17,0.0
20050107:2010,0.0,0.0,0.0,9.62,1.1,0.0
20050107:2110,0.0,0.0,0.0,8.2,1.38,0.0
20050107:2210,0.0,0.0,0.0,6.4,1.72,0.0
20050107:2310,0.0,0.0,0.0,4.81,2.07,0.0
20050108:0010,0.0,0.0,0.0,3.96,2.14,0.0
20050108:0110,0.0,0.0,0.0,3.39,2.14,0.0
20050108:0210,0.0,0.0,0.0,2.94,2.14,0.0
20050108:0310,0.0,0.0,0.0,2.47,2.0,0.0
20050108:0410,0.0,0.0,0.0,2.28,1.79,0.0
20050108:0510,0.0,0.0,0.0,2.34,1.59,0.0
20050108:0610,0.0,0.0,0.0,2.62,1.52,0.0
20050108:0710,0.0,0.0,0.0,2.12,1.72,0.0
20050108:0810,263.25,313.5,12.77,3.57,1.31,0.0
20050108:0910,456.51,542.77,19.53,7.52,1.03,0.0
20050108:1010,607.59,741.38,24.05,10.2,1.24,0.0
20050108:1110,676.8,830.8,25.84,11.41,2.0,0.0
20050108:1210,728.66,896.66,24.65,11.89,2.55,0.0
20050108:1310,696.45,852.24,20.66,12.0,2.69,0.0
20050108:1410,574.68,695.0,14.31,11.79,2.48,0.0
20050108:1510,468.81,569.01,6.17,11.16,2.07,0.0
20050108:1610,0.0,0.0,0.0,10.06,2.0,0.0
20050108:1710,0.0,0.0,0.0,8.98,1.93,0.0
20050108:1810,0.0,0.0,0.0,7.71,1.93,0.0
20050108:1910,0.0,0.0,0.0,7.09,1.72,0.0
20050108:2010,0.0,0.0,0.0,7.13,1.45,0.0
20050108:2110,0.0,0.0,0.0,7.75,1.24,0.0
20050108:2210,0.0,0.0,0.0,7.99,1.03,0.0
20050108:2310,0.0,0.0,0.0,7.81,0.97,0.0
20050109:0010,0.0,0.0,0.0,7.69,0.9,0.0
20050109:0110,0.0,0.0,0.0,7.73,0.9,0.0
20050109:0210,0.0,0.0,0.0,7.44,1.1,0.0
20050109:0310,0.0,0.0,0.0,6.28,1.31,0.0
20050109:0410,0.0,0.0,0.0,5.4,1.52,0.0
20050109:0510,0.0,0.0,0.0,5.12,1.59,0.0
20050109:0610,0.0,0.0,0.0,5.17,1.52,0.0
20050109:0710,0.0,2.59,4.37,7.36,1.1,0.0
20050109:0810,41.12,62.99,12.83,6.8,1.17,0.0
20050109:0910,68.8,96.08,19.62,8.19,1.03,0.0
20050109:1010,50.05,74.49,24.16,9.55,0.9,0.0
20050109:1110,74.39,103.91,25.97,10.85,0.34,0.0
20050109:1210,470.74,573.68,24.81,11.46,0.83,0.0
20050109:1310,631.74,780.77,20.82,11.49,1.24,0.0
20050109:1410,574.4,702.86,14.48,11.39,1.38,0.0
20050109:1510,469.4,575.44,6.34,11.13,1.1,0.0
20050109:1610,0.0,0.0,0.0,10.52,1.03,0.0
20050109:1710,0.0,0.0,0.0,9.67,1.03,0.0
20050109:1810,0.0,0.0,0.0,9.09,1.03,0.0
20050109:1910,0.0,0.0,0.0,10.5,0.62,0.0
20050109:2010,0.0,0.0,0.0,10.2,0.48,0.0
20050109:2110,0.0,0.0,0.0,9.75,0.62,0.0
20050109:2210,0.0,0.0,0.0,8.88,0.97,0.0
20050109:2310,0.0,0.0,0.0,7.46,1.31,0.0
20050110:0010,0.0,0.0,0.0,5.94,1.59,0.0
20050110:0110,0.0,0.0,0.0,5.02,1.66,0.0
20050110:0210,0.0,0.0,0.0,4.17,1.79,0.0
20050110:0310,0.0,0.0,0.0,3.7,1.72,0.0
20050110:0410,0.0,0.0,0.0,3.4,1.79,0.0
20050110:0510,0.0,0.0,0.0,2.9,1.79,0.0
20050110:0610,0.0,0.0,0.0,2.48,1.72,0.0
20050110:0710,0.0,4.31,4.42,2.96,1.72,0.0
20050110:0810,239.22,288.09,12.9,4.95,1.17,0.0
20050110:0910,227.83,276.31,19.71,8.55,0.83,0.0
20050110:1010,583.57,714.59,24.28,9.92,0.76,0.0
20050110:1110,670.96,837.19,26.12,10.96,0.9,0.0
20050110:1210,718.74,903.12,24.97,11.56,1.17,0.0
20050110:1310,691.1,858.81,20.99,11.89,1.59,0.0
20050110:1410,589.0,720.27,14.65,11.86,1.72,0.0
20050110:1510,480.13,586.92,6.51,11.53,1.59,0.0
20050110:1610,0.0,0.0,0.0,10.53,1.66,0.0
20050110:1710,0.0,0.0,0.0,9.09,1.59,0.0
20050110:1810,0.0,0.0,0.0,8.08,1.52,0.0
20050110:1910,0.0,0.0,0.0,8.91,1.31,0.0
20050110:2010,0.0,0.0,0.0,9.3,1.1,0.0
20050110:2110,0.0,0.0,0.0,9.13,1.03,0.0
20050110:2210,0.0,0.0,0.0,8.08,1.24,0.0
20050110:2310,0.0,0.0,0.0,6.3,1.59,0.0
20050111:0010,0.0,0.0,0.0,5.19,1.72,0.0
20050111:0110,0.0,0.0,0.0,4.61,1.79,0.0
20050111:0210,0.0,0.0,0.0,3.9,1.72,0.0
20050111:0310,0.0,0.0,0.0,3.66,1.59,0.0
20050111:0410,0.0,0.0,0.0,3.44,1.59,0.0
20050111:0510,0.0,0.0,0.0,3.12,1.72,0.0
20050111:0610,0.0,0.0,0.0,2.96,1.79,0.0
20050111:0710,0.0,5.18,4.47,3.62,1.52,0.0
20050111:0810,193.29,235.75,12.98,5.0,1.17,0.0
20050111:0910,435.99,520.89,19.81,8.57,0.97,0.0
20050111:1010,548.85,668.37,24.41,10.38,0.97,0.0
20050111:1110,308.91,373.51,26.27,11.01,1.24,0.0
20050111:1210,280.12,339.5,25.13,11.5,1.79,0.0
20050111:1310,479.29,575.26,21.17,11.72,2.34,0.0
20050111:1410,274.38,331.1,14.83,11.88,2.55,0.0
20050111:1510,317.51,384.37,6.68,11.58,2.14,0.0
20050111:1610,0.0,0.0,0.0,10.58,2.07,0.0
20050111:1710,0.0,0.0,0.0,9.66,2.07,0.0
20050111:1810,0.0,0.0,0.0,8.43,2.0,0.0
20050111:1910,0.0,0.0,0.0,7.51,1.86,0.0
20050111:2010,0.0,0.0,0.0,6.95,1.72,0.0
20050111:2110,0.0,0.0,0.0,6.7,1.66,0.0
20050111:2210,0.0,0.0,0.0,6.22,1.59,0.0
20050111:2310,0.0,0.0,0.0,5.48,1.72,0.0
20050112:0010,0.0,0.0,0.0,4.7,1.93,0.0
20050112:0110,0.0,0.0,0.0,4.25,1.86,0.0
20050112:0210,0.0,0.0,0.0,3.92,1.79,0.0
20050112:0310,0.0,0.0,0.0,3.64,1.79,0.0
20050112:0410,0.0,0.0,0.0,3.4,1.86,0.0
20050112:0510,0.0,0.0,0.0,3.72,1.72,0.0
20050112:0610,0.0,0.0,0.0,3.82,1.93,0.0
20050112:0710,0.0,4.31,4.54,4.35,1.86,0.0
20050112:0810,53.09,76.87,13.06,5.69,1.52,0.0
20050112:0910,71.81,99.73,19.92,8.71,1.45,0.0
20050112:1010,26.83,45.98,24.54,10.04,1.79,0.0
20050112:1110,26.75,45.98,26.42,10.66,1.79,0.0
20050112:1210,23.84,42.3,25.31,11.03,1.86,0.0
20050112:1310,21.01,38.62,21.35,11.25,2.07,0.0
20050112:1410,14.23,29.43,15.01,11.21,2.14,0.0
20050112:1510,4.49,14.71,6.86,10.92,1.86,0.0
20050112:1610,0.0,0.0,0.0,10.14,1.72,0.0
20050112:1710,0.0,0.0,0.0,8.93,1.59,0.0
20050112:1810,0.0,0.0,0.0,7.85,1.59,0.0
20050112:1910,0.0,0.0,0.0,9.31,1.03,0.0
20050112:2010,0.0,0.0,0.0,7.86,1.31,0.0
20050112:2110,0.0,0.0,0.0,6.84,1.52,0.0
20050112:2210,0.0,0.0,0.0,6.18,1.52,0.0
20050112:2310,0.0,0.0,0.0,5.53,1.59,0.0
20050113:0010,0.0,0.0,0.0,5.15,1.59,0.0
20050113:0110,0.0,0.0,0.0,4.68,1.66,0.0
20050113:0210,0.0,0.0,0.0,4.18,1.72,0.0
20050113:0310,0.0,0.0,0.0,3.63,1.66,0.0
20050113:0410,0.0,0.0,0.0,3.42,1.66,0.0
20050113:0510,0.0,0.0,0.0,3.38,1.59,0.0
20050113:0610,0.0,0.0,0.0,3.14,0.0,0.0
20050113:0710,0.0,4.31,4.6,5.78,0.0,0.0
20050113:0810,118.9,153.21,13.15,7.09,0.97,0.0
20050113:0910,118.43,153.22,20.03,9.09,0.83,0.0
20050113:1010,83.46,114.03,24.69,10.22,1.31,0.0
20050113:1110,242.46,295.48,26.59,11.01,1.86,0.0
20050113:1210,217.73,267.16,25.49,11.44,2.41,0.0
20050113:1310,276.78,333.57,21.53,11.84,3.1,0.0
20050113:1410,503.5,601.85,15.2,11.83,3.1,0.0
20050113:1510,138.35,176.48,7.05,11.53,2.62,0.0
20050113:1610,0.0,0.0,0.0,10.71,2.48,0.0
20050113:1710,0.0,0.0,0.0,9.9,2.48,0.0
20050113:1810,0.0,0.0,0.0,9.15,2.69,0.0
20050113:1910,0.0,0.0,0.0,8.37,2.69,0.0
20050113:2010,0.0,0.0,0.0,8.02,2.62,0.0
20050113:2110,0.0,0.0,0.0,7.43,2.62,0.0
20050113:2210,0.0,0.0,0.0,6.62,2.48,0.0
20050113:2310,0.0,0.0,0.0,5.76,2.34,0.0
20050114:0010,0.0,0.0,0.0,4.94,2.34,0.0
20050114:0110,0.0,0.0,0.0,4.24,2.34,0.0
20050114:0210,0.0,0.0,0.0,3.64,2.21,0.0
20050114:0310,0.0,0.0,0.0,2.95,2.07,0.0
20050114:0410,0.0,0.0,0.0,2.42,2.0,0.0
20050114:0510,0.0,0.0,0.0,2.03,2.0,0.0
20050114:0610,0.0,0.0,0.0,1.74,2.0,0.0
20050114:0710,0.55,6.9,4.68,1.77,2.07,0.0
20050114:0810,252.46,300.2,13.25,3.27,1.79,0.0
20050114:0910,475.65,558.45,20.16,5.9,1.59,0.0
20050114:1010,610.79,738.89,24.83,8.2,1.17,0.0
20050114:1110,689.35,864.28,26.76,9.74,0.55,0.0
20050114:1210,709.96,903.95,25.67,10.55,0.34,0.0
20050114:1310,711.99,894.98,21.73,10.97,0.97,0.0
20050114:1410,620.5,761.78,15.39,11.0,1.45,0.0
20050114:1510,480.54,584.21,7.23,10.65,1.59,0.0
20050114:1610,0.0,0.0,0.0,9.8,1.86,0.0
20050114:1710,0.0,0.0,0.0,8.42,2.0,0.0
20050114:1810,0.0,0.0,0.0,6.96,2.0,0.0
20050114:1910,0.0,0.0,0.0,6.39,1.86,0.0
20050114:2010,0.0,0.0,0.0,5.56,1.86,0.0
20050114:2110,0.0,0.0,0.0,4.51,2.0,0.0
20050114:2210,0.0,0.0,0.0,3.62,2.14,0.0
20050114:2310,0.0,0.0,0.0,3.14,2.21,0.0
20050115:0010,0.0,0.0,0.0,2.83,2.21,0.0
20050115:0110,0.0,0.0,0.0,2.68,2.28,0.0
20050115:0210,0.0,0.0,0.0,2.51,2.28,0.0
20050115:0310,0.0,0.0,0.0,2.24,2.21,0.0
20050115:0410,0.0,0.0,0.0,1.98,2.28,0.0
20050115:0510,0.0,0.0,0.0,1.84,2.41,0.0
20050115:0610,0.0,0.0,0.0,1.71,2.55,0.0
20050115:0710,0.0,5.18,4.76,1.92,3.03,0.0
20050115:0810,279.88,329.81,13.35,3.25,2.9,0.0
20050115:0910,492.45,571.14,20.28,5.76,3.03,0.0
20050115:1010,634.11,749.61,24.99,7.68,2.97,0.0
20050115:1110,725.58,876.74,26.94,8.97,2.69,0.0
20050115:1210,660.83,801.5,25.87,9.8,2.21,0.0
20050115:1310,586.84,710.73,21.93,10.28,1.79,0.0
20050115:1410,576.03,698.12,15.59,10.39,1.72,0.0
20050115:1510,180.72,223.76,7.43,9.94,1.72,0.0
20050115:1610,0.0,0.0,0.0,8.74,2.21,0.0
20050115:1710,0.0,0.0,0.0,7.38,2.62,0.0
20050115:1810,0.0,0.0,0.0,6.23,2.97,0.0
20050115:1910,0.0,0.0,0.0,5.71,3.17,0.0
20050115:2010,0.0,0.0,0.0,4.74,3.1,0.0
20050115:2110,0.0,0.0,0.0,3.92,3.1,0.0
20050115:2210,0.0,0.0,0.0,3.19,3.24,0.0
20050115:2310,0.0,0.0,0.0,2.73,3.31,0.0
20050116:0010,0.0,0.0,0.0,2.35,3.45,0.0
20050116:0110,0.0,0.0,0.0,2.1,3.66,0.0
20050116:0210,0.0,0.0,0.0,1.89,3.72,0.0
20050116:0310,0.0,0.0,0.0,1.7,3.79,0.0
20050116:0410,0.0,0.0,0.0,1.58,3.86,0.0
20050116:0510,0.0,0.0,0.0,1.51,3.93,0.0
20050116:0610,0.0,0.0,0.0,1.48,4.0,0.0
20050116:0710,0.55,6.9,4.85,1.68,4.0,0.0
20050116:0810,268.1,314.96,13.46,2.84,3.79,0.0
20050116:0910,481.77,552.6,20.42,4.83,4.07,0.0
20050116:1010,651.71,761.6,25.15,6.61,3.79,0.0
20050116:1110,741.82,884.29,27.12,7.88,3.52,0.0
20050116:1210,755.88,909.57,26.06,8.72,3.31,0.0
20050116:1310,721.34,869.06,22.13,9.3,3.1,0.0
20050116:1410,595.15,710.67,15.79,9.55,2.83,0.0
20050116:1510,472.2,564.84,7.62,9.2,2.41,0.0
20050116:1610,0.0,0.0,0.0,8.01,2.76,0.0
20050116:1710,0.0,0.0,0.0,6.6,3.24,0.0
20050116:1810,0.0,0.0,0.0,5.35,3.59,0.0
20050116:1910,0.0,0.0,0.0,4.35,3.93,0.0
20050116:2010,0.0,0.0,0.0,3.51,3.79,0.0
20050116:2110,0.0,0.0,0.0,2.8,3.72,0.0
20050116:2210,0.0,0.0,0.0,2.22,3.52,0.0
20050116:2310,0.0,0.0,0.0,1.76,3.38,0.0
20050117:0010,0.0,0.0,0.0,1.38,3.31,0.0
20050117:0110,0.0,0.0,0.0,1.07,3.17,0.0
20050117:0210,0.0,0.0,0.0,0.77,3.03,0.0
20050117:0310,0.0,0.0,0.0,0.44,2.83,0.0
20050117:0410,0.0,0.0,0.0,0.09,2.76,0.0
20050117:0510,0.0,0.0,0.0,-0.17,2.69,0.0
20050117:0610,0.0,0.0,0.0,-0.34,2.69,0.0
20050117:0710,0.96,7.76,4.94,-0.2,2.9,0.0
20050117:0810,274.58,321.49,13.58,1.17,2.41,0.0
20050117:0910,488.75,567.2,20.56,3.92,1.93,0.0
20050117:1010,624.0,746.15,25.32,5.89,1.31,0.0
20050117:1110,706.05,873.77,27.31,7.23,0.69,0.0
20050117:1210,744.3,931.2,26.27,7.97,0.76,0.0
20050117:1310,717.73,890.6,22.34,8.34,0.97,0.0
20050117:1410,636.5,781.25,15.99,8.33,0.83,0.0
20050117:1510,493.26,601.03,7.82,8.02,0.48,0.0
20050117:1610,0.0,0.0,0.0,7.51,0.14,0.0
20050117:1710,0.0,0.0,0.0,6.95,0.48,0.0
20050117:1810,0.0,0.0,0.0,6.35,0.97,0.0
20050117:1910,0.0,0.0,0.0,6.33,0.9,0.0
20050117:2010,0.0,0.0,0.0,4.84,1.31,0.0
20050117:2110,0.0,0.0,0.0,3.02,1.66,0.0
20050117:2210,0.0,0.0,0.0,1.83,1.86,0.0
20050117:2310,0.0,0.0,0.0,0.94,1.93,0.0
20050118:0010,0.0,0.0,0.0,0.35,1.93,0.0
20050118:0110,0.0,0.0,0.0,-0.16,1.93,0.0
20050118:0210,0.0,0.0,0.0,-0.51,2.0,0.0
20050118:0310,0.0,0.0,0.0,-0.63,2.0,0.0
20050118:0410,0.0,0.0,0.0,-0.66,2.0,0.0
20050118:0510,0.0,0.0,0.0,-0.68,2.0,0.0
20050118:0610,0.0,0.0,0.0,-0.72,2.0,0.0
20050118:0710,11.77,27.48,5.04,-0.08,2.07,0.0
20050118:0810,261.49,308.78,13.7,2.15,1.93,0.0
20050118:0910,466.86,545.87,20.71,5.8,1.93,0.0
20050118:1010,610.34,726.94,25.49,7.83,2.14,0.0
20050118:1110,729.83,881.07,27.51,8.72,2.69,0.0
20050118:1210,767.6,930.31,26.48,9.2,3.03,0.0
20050118:1310,718.98,868.07,22.55,9.55,2.97,0.0
20050118:1410,49.56,73.57,16.2,8.97,2.97,0.0
20050118:1510,6.27,17.47,8.03,8.18,3.38,0.0
20050118:1610,0.0,0.0,-1.45,7.95,3.17,0.0
20050118:1710,0.0,0.0,0.0,7.55,2.76,0.0
20050118:1810,0.0,0.0,0.0,7.64,2.97,0.0
20050118:1910,0.0,0.0,0.0,7.84,4.0,0.0
20050118:2010,0.0,0.0,0.0,8.12,4.21,0.0
20050118:2110,0.0,0.0,0.0,8.45,4.07,0.0
20050118:2210,0.0,0.0,0.0,8.59,3.93,0.0
20050118:2310,0.0,0.0,0.0,8.48,3.79,0.0
20050119:0010,0.0,0.0,0.0,8.26,3.24,0.0
20050119:0110,0.0,0.0,0.0,7.77,2.69,0.0
20050119:0210,0.0,0.0,0.0,7.37,2.83,0.0
20050119:0310,0.0,0.0,0.0,6.94,1.93,0.0
20050119:0410,0.0,0.0,0.0,6.8,1.45,0.0
20050119:0510,0.0,0.0,0.0,6.52,0.69,0.0
20050119:0610,0.0,0.0,0.0,6.38,1.86,0.0
20050119:0710,0.0,2.76,5.14,6.63,2.83,0.0
20050119:0810,50.16,73.71,13.83,6.98,3.1,0.0
